feature1	feature2	r
CD3+CD4+_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	-0.0666
CD3+CD4+_Raw	CD4+CD38+HLA-DR+_Raw	-0.1629
CD3+CD4+_Raw	CD4+CD38+HLA-DR-_Raw	0.1551
CD3+CD4+_Raw	CD4-CD8-_Raw	-0.0047
CD3+CD4+_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	0.039
CD3+CD4+_Raw	CD3+CD8+_Raw	-0.6406
CD3+CD4+_Raw	CD8+CD25+_Raw	-0.1629
CD3+CD4+_Raw	CD8+CD40+_Raw	0.0185
CD3+CD4+_Raw	CD8+CD69+_Raw	0.1037
CD3+CD4+_Raw	CD8+CD90+_Raw	0.1186
CD3+CD4+_Raw	CD8+CD103+_Raw	0.1529
CD3+CD4+_Raw	CD8+CD127+_Raw	0.0744
CD3+CD4+_Raw	CD8+ Central Memory_Raw	0.0035
CD3+CD4+_Raw	CD8+Effector Memory_Raw	0.3799
CD3+CD4+_Raw	CD8+Effector Memory TD_Raw	0.0898
CD3+CD4+_Raw	CD8+FoxP3+CD25+_Raw	-0.0041
CD3+CD4+_Raw	CD8+Va7.2+CD161+_Raw	0.0609
CD3+CD4+_Raw	CD8+Naïve_Raw	0.1495
CD3+CD4+_Raw	CD8+PD1+_Raw	-0.2586
CD3+CD4+_Raw	CD8+PDL1+_Raw	0.1143
CD3+CD4+_Raw	CD8+CD38+HLA-DR+_Raw	-0.2549
CD3+CD4+_Raw	CD8+CD38+HLA-DR-_Raw	-0.0089
B cells (% of CD3- CD45+)_Raw	CD3+CD4+_Raw	0.06
CD3+CD4+_Raw	NK cells (% of CD3- CD45+)_Raw	-0.1062
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD3+CD4+_Raw	-0.1143
CD14+16- Classical Monocytes (% of parent)_Raw	CD3+CD4+_Raw	0.4534
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD3+CD4+_Raw	-0.1312
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD3+CD4+_Raw	0.0093
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD3+CD4+_Raw	0.0188
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD3+CD4+_Raw	0.0261
CD4+CCR5+_Raw	CD4+CD25+_Raw	-0.0183
CD4+CCR5+_Raw	CD4+CD40+_Raw	-0.0346
CD4+CCR5+_Raw	CD4+CD69+_Raw	-0.0597
CD4+CCR5+_Raw	CD4+CD90+_Raw	0.0689
CD4+CCR5+_Raw	CD4+CD103+_Raw	0.028
CD4+CCR5+_Raw	CD4+CD127+_Raw	-0.1919
CD4+CCR5+_Raw	CD4+CD161+_Raw	0.1851
CD4+CCR5+_Raw	CD4+CTLA4+_Raw	0.0579
CD4+CCR5+_Raw	CD4+FoxP3+CD25+_Raw	0.0938
CD4+CCR5+_Raw	CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	0.0735
CD4+CCR5+_Raw	CD4+Va7.2+CD161+_Raw	0.0375
CD4+CCR5+_Raw	CD4+PD1+_Raw	0.0919
CD4+ Central Memory_Raw	CD4+CCR5+_Raw	-0.058
CD4+ Effector Memory_Raw	CD4+CCR5+_Raw	0.224
CD4+ Effector Memory TD_Raw	CD4+CCR5+_Raw	-0.0238
CD4+ Naïve_Raw	CD4+CCR5+_Raw	-0.2437
CD4+CCR5+_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	0.0188
CD4+CCR5+_Raw	CD4+CD38+HLA-DR+_Raw	-0.0335
CD4+CCR5+_Raw	CD4+CD38+HLA-DR-_Raw	-0.1275
CD4+CCR5+_Raw	CD4-CD8-_Raw	0.1071
CD4+CCR5+_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	-0.0577
CD3+CD8+_Raw	CD4+CCR5+_Raw	0.0586
CD4+CCR5+_Raw	CD8+CD25+_Raw	0.0376
CD4+CCR5+_Raw	CD8+CD40+_Raw	-0.0065
CD4+CCR5+_Raw	CD8+CD69+_Raw	0.0363
CD4+CCR5+_Raw	CD8+CD90+_Raw	0.037
CD4+CCR5+_Raw	CD8+CD103+_Raw	0.0257
CD4+CCR5+_Raw	CD8+CD127+_Raw	-0.1942
CD4+CCR5+_Raw	CD8+ Central Memory_Raw	-0.0002
