feature1	feature2	r
CD3+CD8+_Raw	CD4+ Central Memory_Raw	-0.0442
CD4+ Central Memory_Raw	CD8+CD25+_Raw	0.2216
CD4+ Central Memory_Raw	CD8+CD40+_Raw	0.021
CD4+ Central Memory_Raw	CD8+CD69+_Raw	0.0004
CD4+ Central Memory_Raw	CD8+CD90+_Raw	0.086
CD4+ Central Memory_Raw	CD8+CD103+_Raw	0.0796
CD4+ Central Memory_Raw	CD8+CD127+_Raw	0.0941
CD4+ Central Memory_Raw	CD8+ Central Memory_Raw	0.4903
CD4+ Central Memory_Raw	CD8+Effector Memory_Raw	0.229
CD4+ Central Memory_Raw	CD8+Effector Memory TD_Raw	-0.2906
CD4+ Central Memory_Raw	CD8+FoxP3+CD25+_Raw	0.0241
CD4+ Central Memory_Raw	CD8+Va7.2+CD161+_Raw	-0.1892
CD4+ Central Memory_Raw	CD8+Naïve_Raw	-0.1987
CD4+ Central Memory_Raw	CD8+PD1+_Raw	0.1764
CD4+ Central Memory_Raw	CD8+PDL1+_Raw	-0.0037
CD4+ Central Memory_Raw	CD8+CD38+HLA-DR+_Raw	-0.0501
CD4+ Central Memory_Raw	CD8+CD38+HLA-DR-_Raw	-0.0768
B cells (% of CD3- CD45+)_Raw	CD4+ Central Memory_Raw	0.1033
CD4+ Central Memory_Raw	NK cells (% of CD3- CD45+)_Raw	-0.0955
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD4+ Central Memory_Raw	0.2745
CD14+16- Classical Monocytes (% of parent)_Raw	CD4+ Central Memory_Raw	0.1855
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD4+ Central Memory_Raw	0.0199
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD4+ Central Memory_Raw	-0.1092
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD4+ Central Memory_Raw	0.0584
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD4+ Central Memory_Raw	-0.0281
CD4+ Effector Memory TD_Raw	CD4+ Effector Memory_Raw	0.2608
CD4+ Effector Memory_Raw	CD4+ Naïve_Raw	-0.4108
CD4+ Effector Memory_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	-0.0207
CD4+ Effector Memory_Raw	CD4+CD38+HLA-DR+_Raw	0.0353
CD4+ Effector Memory_Raw	CD4+CD38+HLA-DR-_Raw	-0.1354
CD4+ Effector Memory_Raw	CD4-CD8-_Raw	0.3669
CD4+ Effector Memory_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	-0.3354
CD3+CD8+_Raw	CD4+ Effector Memory_Raw	-0.1037
CD4+ Effector Memory_Raw	CD8+CD25+_Raw	-0.0022
CD4+ Effector Memory_Raw	CD8+CD40+_Raw	0.0512
CD4+ Effector Memory_Raw	CD8+CD69+_Raw	0.161
CD4+ Effector Memory_Raw	CD8+CD90+_Raw	0.1964
CD4+ Effector Memory_Raw	CD8+CD103+_Raw	0.2172
CD4+ Effector Memory_Raw	CD8+CD127+_Raw	-0.0972
CD4+ Effector Memory_Raw	CD8+ Central Memory_Raw	-0.0184
CD4+ Effector Memory_Raw	CD8+Effector Memory_Raw	0.7519
CD4+ Effector Memory_Raw	CD8+Effector Memory TD_Raw	0.1098
CD4+ Effector Memory_Raw	CD8+FoxP3+CD25+_Raw	0.0273
CD4+ Effector Memory_Raw	CD8+Va7.2+CD161+_Raw	-0.2543
CD4+ Effector Memory_Raw	CD8+Naïve_Raw	-0.3782
CD4+ Effector Memory_Raw	CD8+PD1+_Raw	-0.2136
CD4+ Effector Memory_Raw	CD8+PDL1+_Raw	0.1282
CD4+ Effector Memory_Raw	CD8+CD38+HLA-DR+_Raw	-0.049
CD4+ Effector Memory_Raw	CD8+CD38+HLA-DR-_Raw	0.1693
B cells (% of CD3- CD45+)_Raw	CD4+ Effector Memory_Raw	-0.0411
CD4+ Effector Memory_Raw	NK cells (% of CD3- CD45+)_Raw	-0.1538
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD4+ Effector Memory_Raw	-0.195
CD14+16- Classical Monocytes (% of parent)_Raw	CD4+ Effector Memory_Raw	0.628
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD4+ Effector Memory_Raw	-0.2949
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD4+ Effector Memory_Raw	-0.0345
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD4+ Effector Memory_Raw	0.0492
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD4+ Effector Memory_Raw	0.0052
CD4+ Effector Memory TD_Raw	CD4+ Naïve_Raw	0.0138
CD4+ Effector Memory TD_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	-0.0153
CD4+ Effector Memory TD_Raw	CD4+CD38+HLA-DR+_Raw	-0.0633
CD4+ Effector Memory TD_Raw	CD4+CD38+HLA-DR-_Raw	-0.0151
CD4+ Effector Memory TD_Raw	CD4-CD8-_Raw	0.1177
CD4+ Effector Memory TD_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	0.0074
CD3+CD8+_Raw	CD4+ Effector Memory TD_Raw	-0.1071
CD4+ Effector Memory TD_Raw	CD8+CD25+_Raw	-0.1105
CD4+ Effector Memory TD_Raw	CD8+CD40+_Raw	0.0486
CD4+ Effector Memory TD_Raw	CD8+CD69+_Raw	-0.0011
CD4+ Effector Memory TD_Raw	CD8+CD90+_Raw	0.0349
CD4+ Effector Memory TD_Raw	CD8+CD103+_Raw	-0.0087
CD4+ Effector Memory TD_Raw	CD8+CD127+_Raw	-0.1002
CD4+ Effector Memory TD_Raw	CD8+ Central Memory_Raw	-0.2865
CD4+ Effector Memory TD_Raw	CD8+Effector Memory_Raw	0.1587
CD4+ Effector Memory TD_Raw	CD8+Effector Memory TD_Raw	0.3094
CD4+ Effector Memory TD_Raw	CD8+FoxP3+CD25+_Raw	-0.0571
CD4+ Effector Memory TD_Raw	CD8+Va7.2+CD161+_Raw	-0.0768
CD4+ Effector Memory TD_Raw	CD8+Naïve_Raw	0.0536
CD4+ Effector Memory TD_Raw	CD8+PD1+_Raw	-0.1815
CD4+ Effector Memory TD_Raw	CD8+PDL1+_Raw	0.0524
CD4+ Effector Memory TD_Raw	CD8+CD38+HLA-DR+_Raw	-0.067
CD4+ Effector Memory TD_Raw	CD8+CD38+HLA-DR-_Raw	0.0804
B cells (% of CD3- CD45+)_Raw	CD4+ Effector Memory TD_Raw	-0.0458
CD4+ Effector Memory TD_Raw	NK cells (% of CD3- CD45+)_Raw	-0.0107
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD4+ Effector Memory TD_Raw	-0.0512
CD14+16- Classical Monocytes (% of parent)_Raw	CD4+ Effector Memory TD_Raw	0.1842
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD4+ Effector Memory TD_Raw	-0.0083
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD4+ Effector Memory TD_Raw	0.0024
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD4+ Effector Memory TD_Raw	0.0514
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD4+ Effector Memory TD_Raw	0.0246
CD4+ Naïve_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	0.0366
CD4+ Naïve_Raw	CD4+CD38+HLA-DR+_Raw	-0.0223
CD4+ Naïve_Raw	CD4+CD38+HLA-DR-_Raw	0.5004
CD4+ Naïve_Raw	CD4-CD8-_Raw	-0.0723
CD4+ Naïve_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	0.318
CD3+CD8+_Raw	CD4+ Naïve_Raw	0.1456
CD4+ Naïve_Raw	CD8+CD25+_Raw	-0.1939
CD4+ Naïve_Raw	CD8+CD40+_Raw	0.0069
CD4+ Naïve_Raw	CD8+CD69+_Raw	-0.1178
CD4+ Naïve_Raw	CD8+CD90+_Raw	-0.1164
CD4+ Naïve_Raw	CD8+CD103+_Raw	-0.112
CD4+ Naïve_Raw	CD8+CD127+_Raw	0.0435
CD4+ Naïve_Raw	CD8+ Central Memory_Raw	-0.342
CD4+ Naïve_Raw	CD8+Effector Memory_Raw	-0.1872
CD4+ Naïve_Raw	CD8+Effector Memory TD_Raw	0.4132
CD4+ Naïve_Raw	CD8+FoxP3+CD25+_Raw	0.0189
CD4+ Naïve_Raw	CD8+Va7.2+CD161+_Raw	0.2867
CD4+ Naïve_Raw	CD8+Naïve_Raw	0.7392
CD4+ Naïve_Raw	CD8+PD1+_Raw	-0.1418
CD4+ Naïve_Raw	CD8+PDL1+_Raw	0.0267
CD4+ Naïve_Raw	CD8+CD38+HLA-DR+_Raw	0.0256
CD4+ Naïve_Raw	CD8+CD38+HLA-DR-_Raw	0.0964
B cells (% of CD3- CD45+)_Raw	CD4+ Naïve_Raw	0.2624
CD4+ Naïve_Raw	NK cells (% of CD3- CD45+)_Raw	0.079
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD4+ Naïve_Raw	0.1392
CD14+16- Classical Monocytes (% of parent)_Raw	CD4+ Naïve_Raw	0.0197
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD4+ Naïve_Raw	0.1449
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD4+ Naïve_Raw	0.1056
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD4+ Naïve_Raw	0.026
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD4+ Naïve_Raw	0.037
CD4+CD38+HLA-DR+_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	-0.0338
CD4+CD38+HLA-DR-_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	-0.0835
CD4+PD1+CXCR5+ Tfh cells_Raw	CD4-CD8-_Raw	-0.0134
CD4+PD1+CXCR5+ Tfh cells_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	-0.0159
CD3+CD8+_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	0.0007
CD4+PD1+CXCR5+ Tfh cells_Raw	CD8+CD25+_Raw	-0.0151
CD4+PD1+CXCR5+ Tfh cells_Raw	CD8+CD40+_Raw	-0.0254
CD4+PD1+CXCR5+ Tfh cells_Raw	CD8+CD69+_Raw	-0.0364
CD4+PD1+CXCR5+ Tfh cells_Raw	CD8+CD90+_Raw	-0.0286
CD4+PD1+CXCR5+ Tfh cells_Raw	CD8+CD103+_Raw	0.0032
CD4+PD1+CXCR5+ Tfh cells_Raw	CD8+CD127+_Raw	-0.0537
CD4+PD1+CXCR5+ Tfh cells_Raw	CD8+ Central Memory_Raw	0.0222
CD4+PD1+CXCR5+ Tfh cells_Raw	CD8+Effector Memory_Raw	-0.0272
CD4+PD1+CXCR5+ Tfh cells_Raw	CD8+Effector Memory TD_Raw	0.0183
CD4+PD1+CXCR5+ Tfh cells_Raw	CD8+FoxP3+CD25+_Raw	0.0143
CD4+PD1+CXCR5+ Tfh cells_Raw	CD8+Va7.2+CD161+_Raw	0.063
CD4+PD1+CXCR5+ Tfh cells_Raw	CD8+Naïve_Raw	0.0244
CD4+PD1+CXCR5+ Tfh cells_Raw	CD8+PD1+_Raw	0.0622
CD4+PD1+CXCR5+ Tfh cells_Raw	CD8+PDL1+_Raw	-0.0256
CD4+PD1+CXCR5+ Tfh cells_Raw	CD8+CD38+HLA-DR+_Raw	-0.0093
CD4+PD1+CXCR5+ Tfh cells_Raw	CD8+CD38+HLA-DR-_Raw	-0.0895
B cells (% of CD3- CD45+)_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	0.0476
CD4+PD1+CXCR5+ Tfh cells_Raw	NK cells (% of CD3- CD45+)_Raw	0.1045
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	-0.0234
CD14+16- Classical Monocytes (% of parent)_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	-0.0589
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	0.0232
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	-0.0931
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	0.0232
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	0.0077
CD4+CD38+HLA-DR+_Raw	CD4+CD38+HLA-DR-_Raw	0.0027
CD4+CD38+HLA-DR+_Raw	CD4-CD8-_Raw	0.0547
CD4+CD38+HLA-DR+_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	-0.0449
CD3+CD8+_Raw	CD4+CD38+HLA-DR+_Raw	0.084
CD4+CD38+HLA-DR+_Raw	CD8+CD25+_Raw	0.0533
CD4+CD38+HLA-DR+_Raw	CD8+CD40+_Raw	0.0348
CD4+CD38+HLA-DR+_Raw	CD8+CD69+_Raw	-0.0109
CD4+CD38+HLA-DR+_Raw	CD8+CD90+_Raw	0.0294
CD4+CD38+HLA-DR+_Raw	CD8+CD103+_Raw	-0.0606
CD4+CD38+HLA-DR+_Raw	CD8+CD127+_Raw	-0.0187
CD4+CD38+HLA-DR+_Raw	CD8+ Central Memory_Raw	0.0151
CD4+CD38+HLA-DR+_Raw	CD8+Effector Memory_Raw	0.0248
CD4+CD38+HLA-DR+_Raw	CD8+Effector Memory TD_Raw	0.0027
CD4+CD38+HLA-DR+_Raw	CD8+FoxP3+CD25+_Raw	-0.0511
CD4+CD38+HLA-DR+_Raw	CD8+Va7.2+CD161+_Raw	-0.1103
CD4+CD38+HLA-DR+_Raw	CD8+Naïve_Raw	-0.0863
CD4+CD38+HLA-DR+_Raw	CD8+PD1+_Raw	0.0387
CD4+CD38+HLA-DR+_Raw	CD8+PDL1+_Raw	-0.0133
CD4+CD38+HLA-DR+_Raw	CD8+CD38+HLA-DR+_Raw	0.1237
CD4+CD38+HLA-DR+_Raw	CD8+CD38+HLA-DR-_Raw	0.0655
B cells (% of CD3- CD45+)_Raw	CD4+CD38+HLA-DR+_Raw	-0.0601
CD4+CD38+HLA-DR+_Raw	NK cells (% of CD3- CD45+)_Raw	0.0179
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD4+CD38+HLA-DR+_Raw	0.0964
CD14+16- Classical Monocytes (% of parent)_Raw	CD4+CD38+HLA-DR+_Raw	0.0114
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD4+CD38+HLA-DR+_Raw	0.0074
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD4+CD38+HLA-DR+_Raw	-0.0024
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD4+CD38+HLA-DR+_Raw	-0.0062
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD4+CD38+HLA-DR+_Raw	0.008
CD4+CD38+HLA-DR-_Raw	CD4-CD8-_Raw	0.2791
CD4+CD38+HLA-DR-_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	0.1126
CD3+CD8+_Raw	CD4+CD38+HLA-DR-_Raw	0.0165
CD4+CD38+HLA-DR-_Raw	CD8+CD25+_Raw	-0.1309
CD4+CD38+HLA-DR-_Raw	CD8+CD40+_Raw	0.0368
CD4+CD38+HLA-DR-_Raw	CD8+CD69+_Raw	0.0815
CD4+CD38+HLA-DR-_Raw	CD8+CD90+_Raw	0.0803
CD4+CD38+HLA-DR-_Raw	CD8+CD103+_Raw	-0.1387
CD4+CD38+HLA-DR-_Raw	CD8+CD127+_Raw	-0.0237
CD4+CD38+HLA-DR-_Raw	CD8+ Central Memory_Raw	-0.2152
CD4+CD38+HLA-DR-_Raw	CD8+Effector Memory_Raw	0.0559
CD4+CD38+HLA-DR-_Raw	CD8+Effector Memory TD_Raw	0.0701
CD4+CD38+HLA-DR-_Raw	CD8+FoxP3+CD25+_Raw	-0.0361
CD4+CD38+HLA-DR-_Raw	CD8+Va7.2+CD161+_Raw	0.1875
CD4+CD38+HLA-DR-_Raw	CD8+Naïve_Raw	0.2973
CD4+CD38+HLA-DR-_Raw	CD8+PD1+_Raw	-0.176
CD4+CD38+HLA-DR-_Raw	CD8+PDL1+_Raw	0.0986
CD4+CD38+HLA-DR-_Raw	CD8+CD38+HLA-DR+_Raw	-0.1111
CD4+CD38+HLA-DR-_Raw	CD8+CD38+HLA-DR-_Raw	0.5156
B cells (% of CD3- CD45+)_Raw	CD4+CD38+HLA-DR-_Raw	0.1408
CD4+CD38+HLA-DR-_Raw	NK cells (% of CD3- CD45+)_Raw	-0.0521
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD4+CD38+HLA-DR-_Raw	-0.122
CD14+16- Classical Monocytes (% of parent)_Raw	CD4+CD38+HLA-DR-_Raw	0.182
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD4+CD38+HLA-DR-_Raw	-0.1646
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD4+CD38+HLA-DR-_Raw	0.0679
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD4+CD38+HLA-DR-_Raw	-0.0507
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD4+CD38+HLA-DR-_Raw	-0.0048
CD4-CD8-Va7.2+CD161+ Mait cells_Raw	CD4-CD8-_Raw	-0.2475
CD3+CD8+_Raw	CD4-CD8-_Raw	-0.1026
CD4-CD8-_Raw	CD8+CD25+_Raw	0.0234
CD4-CD8-_Raw	CD8+CD40+_Raw	0.0187
CD4-CD8-_Raw	CD8+CD69+_Raw	0.1398
CD4-CD8-_Raw	CD8+CD90+_Raw	0.1906
CD4-CD8-_Raw	CD8+CD103+_Raw	0.0276
CD4-CD8-_Raw	CD8+CD127+_Raw	-0.186
CD4-CD8-_Raw	CD8+ Central Memory_Raw	-0.1669
CD4-CD8-_Raw	CD8+Effector Memory_Raw	0.3737
CD4-CD8-_Raw	CD8+Effector Memory TD_Raw	0.0259
CD4-CD8-_Raw	CD8+FoxP3+CD25+_Raw	-0.0094
CD4-CD8-_Raw	CD8+Va7.2+CD161+_Raw	-0.0319
CD4-CD8-_Raw	CD8+Naïve_Raw	-0.1914
CD4-CD8-_Raw	CD8+PD1+_Raw	-0.119
CD4-CD8-_Raw	CD8+PDL1+_Raw	0.1387
CD4-CD8-_Raw	CD8+CD38+HLA-DR+_Raw	-0.0939
CD4-CD8-_Raw	CD8+CD38+HLA-DR-_Raw	0.4085
B cells (% of CD3- CD45+)_Raw	CD4-CD8-_Raw	-0.0915
CD4-CD8-_Raw	NK cells (% of CD3- CD45+)_Raw	-0.0384
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD4-CD8-_Raw	-0.1352
CD14+16- Classical Monocytes (% of parent)_Raw	CD4-CD8-_Raw	0.3161
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD4-CD8-_Raw	-0.3136
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD4-CD8-_Raw	-0.0892
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD4-CD8-_Raw	0.0266
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD4-CD8-_Raw	-0.039
CD3+CD8+_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	-0.0238
CD4-CD8-Va7.2+CD161+ Mait cells_Raw	CD8+CD25+_Raw	-0.0759
CD4-CD8-Va7.2+CD161+ Mait cells_Raw	CD8+CD40+_Raw	0.0254
CD4-CD8-Va7.2+CD161+ Mait cells_Raw	CD8+CD69+_Raw	-0.055
CD4-CD8-Va7.2+CD161+ Mait cells_Raw	CD8+CD90+_Raw	-0.1077
CD4-CD8-Va7.2+CD161+ Mait cells_Raw	CD8+CD103+_Raw	0.0219
CD4-CD8-Va7.2+CD161+ Mait cells_Raw	CD8+CD127+_Raw	0.1348
CD4-CD8-Va7.2+CD161+ Mait cells_Raw	CD8+ Central Memory_Raw	-0.0709
CD4-CD8-Va7.2+CD161+ Mait cells_Raw	CD8+Effector Memory_Raw	-0.3158
CD4-CD8-Va7.2+CD161+ Mait cells_Raw	CD8+Effector Memory TD_Raw	-0.0224
CD4-CD8-Va7.2+CD161+ Mait cells_Raw	CD8+FoxP3+CD25+_Raw	-0.0205
CD4-CD8-Va7.2+CD161+ Mait cells_Raw	CD8+Va7.2+CD161+_Raw	0.5028
CD4-CD8-Va7.2+CD161+ Mait cells_Raw	CD8+Naïve_Raw	0.3573
CD4-CD8-Va7.2+CD161+ Mait cells_Raw	CD8+PD1+_Raw	0.0903
CD4-CD8-Va7.2+CD161+ Mait cells_Raw	CD8+PDL1+_Raw	0.0438
CD4-CD8-Va7.2+CD161+ Mait cells_Raw	CD8+CD38+HLA-DR+_Raw	0.0149
CD4-CD8-Va7.2+CD161+ Mait cells_Raw	CD8+CD38+HLA-DR-_Raw	0.0314
B cells (% of CD3- CD45+)_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	-0.0067
CD4-CD8-Va7.2+CD161+ Mait cells_Raw	NK cells (% of CD3- CD45+)_Raw	0.1369
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	-0.1329
CD14+16- Classical Monocytes (% of parent)_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	-0.2103
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	0.0769
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	0.0571
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	0.027
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	-0.0207
CD3+CD8+_Raw	CD8+CD25+_Raw	0.0819
CD3+CD8+_Raw	CD8+CD40+_Raw	-0.0539
CD3+CD8+_Raw	CD8+CD69+_Raw	-0.192
CD3+CD8+_Raw	CD8+CD90+_Raw	-0.1102
CD3+CD8+_Raw	CD8+CD103+_Raw	-0.2143
CD3+CD8+_Raw	CD8+CD127+_Raw	-0.1737
CD3+CD8+_Raw	CD8+ Central Memory_Raw	-0.0623
CD3+CD8+_Raw	CD8+Effector Memory_Raw	-0.0822
CD3+CD8+_Raw	CD8+Effector Memory TD_Raw	-0.0008
CD3+CD8+_Raw	CD8+FoxP3+CD25+_Raw	-0.0978
CD3+CD8+_Raw	CD8+Va7.2+CD161+_Raw	-0.1646
CD3+CD8+_Raw	CD8+Naïve_Raw	-0.0319
CD3+CD8+_Raw	CD8+PD1+_Raw	0.1055
CD3+CD8+_Raw	CD8+PDL1+_Raw	-0.1525
CD3+CD8+_Raw	CD8+CD38+HLA-DR+_Raw	0.062
CD3+CD8+_Raw	CD8+CD38+HLA-DR-_Raw	-0.0239
B cells (% of CD3- CD45+)_Raw	CD3+CD8+_Raw	0.2696
CD3+CD8+_Raw	NK cells (% of CD3- CD45+)_Raw	-0.0417
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD3+CD8+_Raw	0.189
CD14+16- Classical Monocytes (% of parent)_Raw	CD3+CD8+_Raw	-0.1486
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD3+CD8+_Raw	0.2764
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD3+CD8+_Raw	-0.038
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD3+CD8+_Raw	-0.0237
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD3+CD8+_Raw	0.0363
CD8+CD25+_Raw	CD8+CD40+_Raw	-0.0221
CD8+CD25+_Raw	CD8+CD69+_Raw	-0.0677
CD8+CD25+_Raw	CD8+CD90+_Raw	0.0166
CD8+CD103+_Raw	CD8+CD25+_Raw	0.104
CD8+CD127+_Raw	CD8+CD25+_Raw	0.2571
CD8+ Central Memory_Raw	CD8+CD25+_Raw	0.3148
CD8+CD25+_Raw	CD8+Effector Memory_Raw	-0.1154
CD8+CD25+_Raw	CD8+Effector Memory TD_Raw	-0.2987
CD8+CD25+_Raw	CD8+FoxP3+CD25+_Raw	0.0359
CD8+CD25+_Raw	CD8+Va7.2+CD161+_Raw	-0.0561
CD8+CD25+_Raw	CD8+Naïve_Raw	-0.0959
CD8+CD25+_Raw	CD8+PD1+_Raw	0.1777
CD8+CD25+_Raw	CD8+PDL1+_Raw	-0.0424
CD8+CD25+_Raw	CD8+CD38+HLA-DR+_Raw	0.0575
CD8+CD25+_Raw	CD8+CD38+HLA-DR-_Raw	-0.0487
B cells (% of CD3- CD45+)_Raw	CD8+CD25+_Raw	-0.1308
CD8+CD25+_Raw	NK cells (% of CD3- CD45+)_Raw	0.0246
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD8+CD25+_Raw	0.0933
CD14+16- Classical Monocytes (% of parent)_Raw	CD8+CD25+_Raw	-0.0729
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD8+CD25+_Raw	-0.0316
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD8+CD25+_Raw	-0.1443
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD8+CD25+_Raw	0.0392
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD8+CD25+_Raw	-0.057
CD8+CD40+_Raw	CD8+CD69+_Raw	-0.0405
CD8+CD40+_Raw	CD8+CD90+_Raw	-0.0043
CD8+CD103+_Raw	CD8+CD40+_Raw	0.0455
CD8+CD127+_Raw	CD8+CD40+_Raw	0.0244
CD8+ Central Memory_Raw	CD8+CD40+_Raw	0.019
CD8+CD40+_Raw	CD8+Effector Memory_Raw	0.0445
CD8+CD40+_Raw	CD8+Effector Memory TD_Raw	0.0306
CD8+CD40+_Raw	CD8+FoxP3+CD25+_Raw	0.0176
CD8+CD40+_Raw	CD8+Va7.2+CD161+_Raw	-0.0085
CD8+CD40+_Raw	CD8+Naïve_Raw	0.0596
CD8+CD40+_Raw	CD8+PD1+_Raw	-0.0695
CD8+CD40+_Raw	CD8+PDL1+_Raw	0.0101
CD8+CD38+HLA-DR+_Raw	CD8+CD40+_Raw	0.0189
CD8+CD38+HLA-DR-_Raw	CD8+CD40+_Raw	0.0564
B cells (% of CD3- CD45+)_Raw	CD8+CD40+_Raw	-0.0531
CD8+CD40+_Raw	NK cells (% of CD3- CD45+)_Raw	-0.0286
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD8+CD40+_Raw	0.0578
CD14+16- Classical Monocytes (% of parent)_Raw	CD8+CD40+_Raw	0.0011
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD8+CD40+_Raw	-0.0358
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD8+CD40+_Raw	-0.004
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD8+CD40+_Raw	-0.046
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD8+CD40+_Raw	-0.0229
CD8+CD69+_Raw	CD8+CD90+_Raw	0.1087
CD8+CD103+_Raw	CD8+CD69+_Raw	0.0502
CD8+CD127+_Raw	CD8+CD69+_Raw	-0.1285
CD8+ Central Memory_Raw	CD8+CD69+_Raw	-0.0032
CD8+CD69+_Raw	CD8+Effector Memory_Raw	0.247
CD8+CD69+_Raw	CD8+Effector Memory TD_Raw	-0.0821
CD8+CD69+_Raw	CD8+FoxP3+CD25+_Raw	0.011
CD8+CD69+_Raw	CD8+Va7.2+CD161+_Raw	0.0156
CD8+CD69+_Raw	CD8+Naïve_Raw	-0.1439
CD8+CD69+_Raw	CD8+PD1+_Raw	0.0145
CD8+CD69+_Raw	CD8+PDL1+_Raw	0.0784
CD8+CD38+HLA-DR+_Raw	CD8+CD69+_Raw	-0.0214
CD8+CD38+HLA-DR-_Raw	CD8+CD69+_Raw	0.129
B cells (% of CD3- CD45+)_Raw	CD8+CD69+_Raw	0.0417
