,02d06,Alistipes,Anaerococcus,Anaerofilum,Anaerovibrio,Bacteroides,Bilophila,Blautia,Butyricicoccus,Butyricimonas,CF231,Campylobacter,Clostridium,Collinsella,Coprococcus,Corynebacterium,Desulfovibrio,Dialister,Dorea,Faecalibacterium,Finegoldia,Lachnospira,Lactococcus,Megasphaera,Mogibacterium,Oscillospira,Parabacteroides,Paraprevotella,Peptoniphilus,Phascolarctobacterium,Prevotella,Roseburia,Ruminococcus,SMB53,Saccharopolyspora,Sarcina,Slackia,Streptococcus,Succinivibrio,Sutterella,Turicibacter,WAL_1855D,[Eubacterium],[Prevotella],[Ruminococcus],NA,Anaerofustis,Bifidobacterium,Catenibacterium,Dehalobacterium,Gemmiger,Mitsuokella,Shuttleworthia,Veillonella,Victivallis,Aggregatibacter,Lactobacillus,Selenomonas,[Clostridium],Acidaminococcus,Butyrivibrio,Fusobacterium,Methanosphaera,Odoribacter,Rothia,Peptococcus,Shigella,Actinomyces,Christensenella,Methanobrevibacter,Oxalobacter,Succinispira,cc_115,Akkermansia,Brachyspira,Helicobacter,Anaerostipes,Lachnobacterium,Enterococcus,rc4-4,Barnesiella,Weissella,Anaerorhabdus,Holdemania,Porphyromonas,Succiniclasticum,Serratia,Alloscardovia,Bulleidia,Leptotrichia,Oribacterium,p-75-a5,Flexispira,Pseudobutyrivibrio,RFN20,Haemophilus,Herbaspirillum,Atopobium,Adlercreutzia,Anaerotruncus,Coprobacillus,Gardnerella,Ralstonia,Eggerthella,Pseudomonas,Jan-68,Gallicola,Peptostreptococcus,ph2,Candidatus Arthromitus,Staphylococcus,Lactonifactor,Subdoligranulum,Pseudoramibacter_Eubacterium,Epulopiscium,Pediococcus,Haloferula,Varibaculum,Synergistes,Cloacibacillus,Defluviitalea,Macellibacteroides,Sneathia,Parvimonas,Mobiluncus,Mycoplasma,Sporobacter,Sharpea,Actinobacillus,vadinCA11,AF12,Anaeroplasma,Gemella,Lachnoanaerobaculum,Moryella,Leuconostoc,Megamonas,Pyramidobacter,Granulicatella,Geobacillus,Lautropia,Aerococcus,Morganella,Ureaplasma,Scardovia,Proteus,Actinobaculum,Streptobacillus,Blvii28,Neisseria,Abiotrophia,Methanomassiliicoccus,Sporanaerobacter,Arcanobacterium,Brevibacterium,GW-34,Nesterenkonia,Acinetobacter,Marvinbryantia,Bacillus,YRC22,Asteroleplasma
DM015-3,NA,646,NA,NA,NA,4197,53,550,NA,105,NA,13,133,16,714,NA,119,26,35,1371,2,53,3,NA,1,125,521,691,7,70,8,485,317,NA,NA,NA,NA,7,NA,224,NA,1,2,NA,NA,1341,NA,341,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,1,2,NA,NA,NA,NA,584,NA,NA,8,NA,NA,NA,NA,NA,NA,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM016-1,28,288,NA,NA,NA,1062,8,263,22,23,NA,1,244,NA,280,NA,NA,225,33,1179,NA,112,NA,NA,NA,91,254,139,NA,1,4165,797,463,81,NA,NA,NA,6,NA,203,30,NA,1,NA,22,1980,NA,561,NA,NA,196,NA,15,2,NA,NA,NA,NA,NA,NA,NA,NA,33,4,NA,NA,NA,NA,NA,38,5,NA,7,12,NA,NA,9,26,NA,2,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM016-2,24,1271,NA,1,NA,1509,18,253,17,92,NA,NA,173,NA,430,NA,NA,199,23,506,NA,139,NA,1,NA,283,437,81,1,NA,2084,394,505,18,NA,NA,NA,NA,NA,154,1,2,2,NA,28,3145,NA,355,NA,1,390,NA,8,1,1,NA,NA,NA,NA,NA,NA,NA,98,45,NA,NA,NA,NA,NA,150,1,NA,9,44,NA,NA,5,6,NA,2,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM016-3,9,91,NA,NA,NA,528,NA,182,10,NA,NA,NA,94,NA,270,NA,NA,82,22,538,NA,115,NA,NA,NA,66,75,189,NA,NA,9135,182,224,NA,NA,NA,NA,12,NA,62,4,NA,NA,NA,31,827,NA,86,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,8,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM017-1,3,127,3,3,NA,6041,NA,89,NA,166,NA,6,55,23,114,NA,23,10,44,165,NA,6,1,NA,1,386,905,NA,4,7,6,28,205,NA,NA,NA,NA,12,3,29,30,2,50,3,580,3541,NA,9,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,7,NA,3,104,4,NA,38,24,NA,NA,1,NA,NA,NA,NA,NA,NA,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM017-2,7,287,NA,NA,NA,4196,NA,200,NA,194,NA,NA,143,37,163,2,5,74,55,237,NA,43,4,NA,NA,350,846,NA,NA,8,2,223,297,18,NA,NA,NA,9,NA,152,36,NA,72,NA,1388,3644,NA,32,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,12,NA,2,91,4,NA,16,31,NA,NA,5,NA,NA,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM017-3,11,498,18,NA,NA,2905,27,361,NA,104,NA,77,308,47,262,33,12,70,64,1197,NA,59,NA,2,5,491,1166,NA,24,2,173,798,356,NA,NA,NA,NA,2,NA,380,26,18,17,NA,75,2875,NA,83,NA,1,27,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,37,NA,NA,2,NA,NA,32,4,NA,44,NA,NA,NA,22,NA,NA,NA,5,NA,NA,5,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,8,15,NA,NA,NA,18,2,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,12,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM018-1,NA,154,NA,NA,NA,971,19,925,28,NA,NA,NA,430,159,639,NA,NA,549,87,1720,NA,5,NA,NA,NA,221,60,NA,3,NA,1,675,1870,5,NA,NA,NA,35,NA,NA,9,NA,15,NA,204,2373,NA,1224,NA,3,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,31,182,NA,NA,3,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,1,12,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM018-2,NA,573,NA,NA,NA,3359,14,787,55,NA,NA,NA,474,32,574,NA,NA,185,54,1265,NA,82,NA,NA,NA,215,183,NA,NA,NA,5,755,1196,27,NA,NA,NA,21,NA,111,4,NA,1,NA,114,1725,NA,493,NA,NA,186,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,24,347,NA,NA,6,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM018-3,NA,764,3,NA,NA,4559,28,409,10,NA,NA,NA,194,12,415,2,NA,97,22,960,2,14,NA,NA,NA,97,320,1,4,NA,7,282,383,17,NA,NA,NA,10,NA,145,6,NA,10,2,71,1279,NA,317,1,NA,80,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,11,2276,NA,NA,5,NA,NA,NA,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM019-1,NA,1,NA,NA,NA,183,6,171,NA,NA,NA,NA,100,9,67,NA,NA,69,33,500,NA,107,6,558,NA,10,28,82,NA,3,6530,261,2,6,NA,NA,NA,30,1113,15,3,NA,109,369,29,1769,NA,NA,366,NA,107,51,NA,8,NA,NA,NA,NA,NA,154,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM019-2,NA,NA,NA,NA,NA,26,5,100,NA,NA,NA,NA,40,8,63,NA,NA,243,16,421,NA,2,NA,327,NA,3,3,15,NA,3,5530,190,6,18,NA,NA,1,15,2692,69,96,NA,106,1338,11,548,NA,NA,684,NA,72,215,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM019-3,NA,NA,NA,NA,NA,299,6,408,NA,1,NA,NA,107,12,172,NA,NA,218,55,603,NA,2,2,1365,NA,68,41,87,NA,3,4860,303,23,NA,NA,NA,2,23,224,31,54,NA,263,217,30,767,NA,NA,1792,NA,178,376,NA,NA,NA,NA,NA,1,NA,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,6,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM021-1,NA,443,1,NA,NA,5532,43,362,NA,31,NA,NA,302,NA,356,NA,NA,56,50,1104,NA,381,NA,153,NA,67,98,NA,7,86,58,873,146,79,NA,NA,NA,6,NA,141,NA,NA,7,NA,175,2290,NA,32,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM021-2,3,525,1,NA,NA,4756,21,850,NA,25,NA,NA,125,47,424,NA,98,NA,47,967,1,7,NA,NA,1,173,256,NA,3,22,7,425,570,3,NA,NA,NA,13,NA,15,2,2,469,NA,17,2328,1,10,NA,NA,72,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,14,NA,NA,NA,569,NA,NA,22,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM021-3,NA,931,NA,1,2,3162,60,1413,NA,182,NA,NA,236,103,443,NA,114,NA,135,587,NA,7,2,NA,NA,142,343,NA,NA,20,12,435,195,NA,NA,NA,NA,NA,NA,110,NA,1,1026,NA,121,2981,NA,3,NA,NA,37,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,3,NA,NA,NA,23,NA,NA,15,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM022-1,NA,333,NA,NA,NA,2802,9,682,NA,1,NA,NA,174,49,361,NA,NA,368,125,1349,NA,15,22,NA,NA,388,312,105,NA,NA,5,1328,1412,NA,NA,NA,3,45,NA,4,NA,NA,164,NA,55,1777,NA,388,NA,NA,167,NA,NA,3,NA,4,NA,NA,NA,1,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,393,NA,NA,31,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM022-2,NA,336,NA,NA,NA,5007,16,481,NA,NA,NA,NA,90,28,278,NA,NA,228,47,990,NA,60,4,NA,NA,416,360,89,NA,NA,2,1607,1211,NA,NA,NA,NA,6,2,38,NA,NA,87,NA,12,1084,NA,148,NA,4,153,NA,NA,3,NA,4,NA,NA,NA,14,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,4,6,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM022-3,NA,409,NA,NA,NA,2574,7,676,NA,NA,NA,NA,177,84,429,NA,11,179,75,1179,NA,48,2,NA,NA,410,355,145,NA,NA,2,992,2240,NA,NA,NA,NA,24,NA,8,3,NA,195,NA,43,1004,NA,353,NA,1,119,NA,NA,NA,NA,1,1,NA,NA,6,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,1108,NA,NA,13,NA,NA,6,NA,NA,NA,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,9,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM023-1,NA,820,NA,NA,NA,4190,22,1340,NA,114,NA,3,176,72,393,NA,91,NA,101,852,NA,3,3,NA,NA,135,148,NA,NA,22,8,609,422,3,NA,NA,NA,6,NA,151,1,NA,578,3,38,2296,NA,3,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,4,NA,49,NA,NA,5,106,NA,NA,18,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM023-2,NA,705,NA,NA,NA,4838,10,414,NA,18,NA,2,509,NA,544,3,NA,61,54,1769,NA,75,NA,249,NA,32,402,NA,NA,3,3,1014,314,82,NA,NA,NA,6,NA,197,1,NA,6,NA,36,1148,NA,332,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,21,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM023-3,3,386,1,NA,NA,5341,97,416,NA,36,NA,NA,278,NA,124,NA,NA,30,90,1729,2,203,1,304,NA,67,119,NA,3,21,12,1059,310,5,NA,NA,NA,22,NA,566,3,1,92,NA,88,1308,NA,151,NA,NA,1,NA,NA,2,NA,NA,8,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,4,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM025-1,NA,NA,NA,NA,263,53,NA,291,12,5,2,NA,35,15,158,NA,39,38,32,297,NA,57,NA,34,16,156,120,1,NA,45,3377,467,445,NA,NA,NA,NA,49,1241,346,NA,NA,170,549,83,3167,NA,NA,364,NA,57,44,NA,1,NA,1,9,NA,NA,3,695,2,NA,NA,NA,4,NA,1,NA,10,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM025-2,NA,1,NA,NA,98,100,NA,131,NA,4,2,1,28,13,460,NA,71,183,22,179,NA,81,NA,189,11,254,109,10,NA,42,828,132,492,15,NA,NA,NA,19,2860,285,3,NA,51,32,39,4307,NA,7,633,2,35,162,NA,2,5,NA,39,2,NA,51,577,2,NA,1,NA,14,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,64,NA,58,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM025-3,NA,2,NA,NA,142,51,4,115,NA,4,3,NA,27,7,354,NA,97,161,16,119,NA,131,NA,112,20,228,182,6,NA,17,962,244,595,6,NA,NA,NA,10,2439,332,7,NA,38,33,21,4610,NA,87,340,NA,27,49,NA,NA,6,1,26,NA,NA,49,824,NA,NA,1,NA,6,1,NA,NA,37,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,47,NA,48,1,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM026-1,NA,498,NA,NA,NA,5272,13,449,NA,NA,NA,NA,140,8,541,NA,NA,1,62,516,NA,284,NA,NA,NA,287,273,NA,NA,30,4,573,316,14,NA,NA,6,3,NA,111,2,NA,188,NA,14,2537,NA,198,NA,NA,291,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,193,NA,NA,11,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM026-2,NA,496,NA,3,NA,4061,33,515,NA,NA,NA,NA,232,8,857,NA,NA,4,54,692,NA,314,NA,NA,NA,186,447,NA,NA,44,21,619,403,6,NA,NA,5,26,3,207,20,NA,202,1,37,2634,NA,310,4,NA,218,NA,NA,1,NA,NA,NA,NA,NA,12,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,3,156,NA,NA,14,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM026-3,NA,610,NA,NA,NA,4487,16,435,NA,NA,NA,NA,227,8,496,NA,NA,NA,104,796,NA,189,NA,NA,NA,288,348,NA,NA,18,12,525,668,NA,NA,NA,2,11,NA,105,6,NA,254,NA,31,2492,NA,269,4,NA,154,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,4,264,NA,NA,11,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
